department,budget_type,project,budget
농림축산식품부,농어촌구조개선특별회계,식량생산유통지원,19695
농림축산식품부,농어촌구조개선특별회계,식품산업기반조성(농특),4952
농림축산식품부,농어촌구조개선특별회계,식품산업육성,23556
농림축산식품부,농어촌구조개선특별회계,식품안전및규격(농특),12061
농림축산식품부,농어촌구조개선특별회계,이차보전,282553
농림축산식품부,농어촌구조개선특별회계,재해대책,109200
농림축산식품부,농어촌구조개선특별회계,재해예방(농특),383500
농림축산식품부,농어촌구조개선특별회계,정책연구개발(R&D),2503
농림축산식품부,농어촌구조개선특별회계,정책자금관리,2552
농림축산식품부,농어촌구조개선특별회계,종자산업육성(농특),21192
농림축산식품부,농어촌구조개선특별회계,종자원정보화(정보화),1407
농림축산식품부,농어촌구조개선특별회계,채무상환,17767
농림축산식품부,농어촌구조개선특별회계,축산물위생안전성(농특),4391
농림축산식품부,농어촌구조개선특별회계,친환경농자재,231702
농림축산식품부,농어촌구조개선특별회계,품질관리정보화(정보화),4709
농림축산식품부,농어촌구조개선특별회계,회계간전출(농특회계),1271700
농림축산식품부,농어촌구조개선특별회계,회계기금간예수원금상환(농특회계),200000
농림축산식품부,농어촌구조개선특별회계,회계기금간전출(농특회계),1349544
농림축산식품부,에너지및자원사업특별회계,농업에너지이용효율화(융자),23406
농림축산식품부,에너지및자원사업특별회계,농업에너지이용효율화(투자),51405
농림축산식품부,지역발전특별회계,농업기반정비,149219
농림축산식품부,지역발전특별회계,농업기반정비(세종),1723
농림축산식품부,지역발전특별회계,농업기반정비(제주),23276
농림축산식품부,지역발전특별회계,농촌자원 복합산업화지원,152917
농림축산식품부,지역발전특별회계,농촌자원 복합산업화지원(제주),5995
농림축산식품부,지역발전특별회계,농촌자원복합산업화지원(세종),1509
농림축산식품부,지역발전특별회계,일반농산어촌개발,969564
농림축산식품부,지역발전특별회계,일반농산어촌개발(세종),4840
농림축산식품부,지역발전특별회계,일반농산어촌개발(제주),18930
농림축산식품부,지역발전특별회계,지역전략식품산업육성(생활),40399
농림축산식품부,지역발전특별회계,지역전략식품산업육성(제주),3500
농림축산식품부,지역발전특별회계,친환경농업인프라구축(지특),11450
농림축산식품부,혁신도시건설특별회계,혁신도시이전,74439
농림축산식품부,양곡관리특별회계,양곡매입 및 관리,1514344
농림축산식품부,양곡관리특별회계,채무상환(양특),28254
농촌진흥청,일반회계,국제농업기술협력(일반),19491
농촌진흥청,일반회계,농가경영지원(일반),10130
농촌진흥청,일반회계,농업공동연구,132015
농촌진흥청,일반회계,농업기술경영연구(일반),5353
농촌진흥청,일반회계,농업기술실용화재단운영,24242
농촌진흥청,일반회계,농업기술실용화재단지방이전,6574
농촌진흥청,일반회계,농업기술위탁교육(수입대체경비),33
농촌진흥청,일반회계,농업기초기반연구,57996
농촌진흥청,일반회계,농업생명연구단지 이전,27551
농촌진흥청,일반회계,농업인력양성및지원(일반),14795
농촌진흥청,일반회계,농자재관리 및 평가,1085
농촌진흥청,일반회계,"농촌진흥사업정보화(정보화,일반)",15425
농촌진흥청,일반회계,농촌진흥사업지원(일반),2338
농촌진흥청,일반회계,본청기본경비,9994
농촌진흥청,일반회계,본청인건비,30426
농촌진흥청,일반회계,성과관리및능력개발,573
농촌진흥청,일반회계,소속기관기본경비,5544
농촌진흥청,일반회계,소속기관인건비,60122
농촌진흥청,일반회계,신기술보급사업(일반),38308
농촌진흥청,일반회계,영농현장연구활동지원(일반),13519
농촌진흥청,일반회계,원예특작연구(책임운영),78823
농촌진흥청,일반회계,작물연구,41573
농촌진흥청,일반회계,차세대바이오그린21,46000
농촌진흥청,일반회계,청사확보및시설개선,2744
농촌진흥청,일반회계,축산연구(책임운영),100302
농촌진흥청,농어촌구조개선특별회계,"고객현장지원(농특,구조)",1302
농촌진흥청,농어촌구조개선특별회계,"기계화영농훈련(농특,구조)",3006
농촌진흥청,농어촌구조개선특별회계,"농촌생활활력증진(농특,구조)",2375
농촌진흥청,농어촌구조개선특별회계,"현장실용화농업기술(농특,구조)",42236
농촌진흥청,지역발전특별회계,6차산업활성화 지원,31320
농촌진흥청,지역발전특별회계,"지역농업연구기반및전략작목육성(지특, 경제)",22828
농촌진흥청,지역발전특별회계,"지역농업연구기반및전략작목육성(지특, 제주)",1388
농촌진흥청,지역발전특별회계,지역농촌지도사업활성화지원,43033
농촌진흥청,혁신도시건설특별회계,농촌진흥청 지방이전사업,346175
대법원,일반회계,가족관계등록사무지원,20855
대법원,일반회계,가족등록업무전산화,20692
대법원,일반회계,국선변호료지원,29388
대법원,일반회계,디지털도서관개발 및 운영,1521
대법원,일반회계,민사재판운영지원,12557
대법원,일반회계,법관등 전문화 및 국제화,8276
대법원,일반회계,법원시설관리 등,38385
대법원,일반회계,법원예비금,500
대법원,일반회계,본부 기본경비,63439
대법원,일반회계,본부인건비,876365
대법원,일반회계,사법업무 전산화,51864
대법원,일반회계,사법운영지원,62669
대법원,일반회계,소속기관 기본경비,6404
대법원,일반회계,소속기관 인건비,35256
대법원,일반회계,일반재판운영지원,40359
대법원,일반회계,형사재판운영지원,47793
대법원,등기특별회계,등기소 확충,24280
대법원,등기특별회계,등기업무 전산화,55846
대법원,등기특별회계,등기업무지원,22920
대법원,등기특별회계,본부 기본경비,5635
대법원,등기특별회계,본부 인건비,102797
대법원,등기특별회계,예비비,4869
대법원,등기특별회계,회계간전출(일반회계),78510
대법원,등기특별회계,회계기금간거래(등특회계),9023
대통령경호실,일반회계,경호행사지원,30480
대통령경호실,일반회계,기본경비,8202
대통령경호실,일반회계,인건비,41423
대통령비서실 및 국가안보실,일반회계,국가안보실 운영,2682
대통령비서실 및 국가안보실,일반회계,국정운영 지원,29673
대통령비서실 및 국가안보실,일반회계,기본경비,18133
대통령비서실 및 국가안보실,일반회계,인건비,31800
대통령비서실 및 국가안보실,일반회계,정보화,6400
문화재청,일반회계,국립고궁박물관조성운영,10724
문화재청,일반회계,국제교류및세계유산등재,42425
문화재청,일반회계,궁능원시설관리운영,40402
문화재청,일반회계,궁능원종합정비,9834
문화재청,일반회계,기념물문화재 보존강화,20344
문화재청,일반회계,매장문화재보존관리,1571
문화재청,일반회계,무형문화재전승,36285
문화재청,일반회계,문화재보수정비,280000
문화재청,일반회계,문화재보호행정기반조성,2351
문화재청,일반회계,문화재안전관리체계강화,1495
문화재청,일반회계,문화재연구소기본경비,2121
문화재청,일반회계,문화재연구소운영,11067
문화재청,일반회계,문화재전자행정구축,4413
문화재청,일반회계,문화재행정제도개선,1548
문화재청,일반회계,문화재활용활성화,21279
문화재청,일반회계,본청기본경비,3602
문화재청,일반회계,본청운영경비,1153
문화재청,일반회계,본청인건비,25885
문화재청,일반회계,소속기관기본경비,3963
문화재청,일반회계,소속기관인건비,20058
문화재청,일반회계,유형문화재 보존관리,5235
문화재청,일반회계,일반회계 전출금(문화재보호기금),37148
문화재청,일반회계,자연문화재보호,1515
문화재청,일반회계,전통문화교육원운영,2067
문화재청,일반회계,한국전통문화대학교운영지원,13484
문화재청,일반회계,한국전통문화대학교정보화,736
문화재청,일반회계,해양문화유산연구,6467
문화재청,지역발전특별회계,문화유산관광자원개발,12866
문화재청,지역발전특별회계,지역문화유산개발,500
문화체육관광부,일반회계,공연 및 전통예술의 활성화,14600
문화체육관광부,일반회계,국립국악원 운영,48608
문화체육관광부,일반회계,국립국어원 정보화,628
문화체육관광부,일반회계,국립민속박물관운영활성화,16679
문화체육관광부,일반회계,국립박물관 운영,67445
문화체육관광부,일반회계,국립중앙극장 운영,26596
문화체육관광부,일반회계,국립중앙극장 정보화,319
문화체육관광부,일반회계,국립중앙도서관 운영,38665
문화체육관광부,일반회계,국립학교 운영,11400
문화체육관광부,일반회계,국립한글박물관 운영,11952
문화체육관광부,일반회계,국립현대미술관 운영,38093
문화체육관광부,일반회계,국악교육지원,2851
문화체육관광부,일반회계,국악원정보시스템환경구축,949
문화체육관광부,일반회계,국어문화진흥,17970
문화체육관광부,일반회계,국어발전기반조성및진흥,10828
문화체육관광부,일반회계,국제관광교류,23336
문화체육관광부,일반회계,국제문화교류,45368
문화체육관광부,일반회계,국제체육 역량 강화,876
문화체육관광부,일반회계,기초예술역량강화,44104
문화체육관광부,일반회계,대국민커뮤니케이션 강화,14533
문화체육관광부,일반회계,대한민국역사박물관 운영,13507
문화체육관광부,일반회계,도서관정보·정책 체계 활성화,9376
문화체육관광부,일반회계,도서관정보화,15834
문화체육관광부,일반회계,문화산업기관지원,43253
문화체육관광부,일반회계,문화예술공간조성,26900
문화체육관광부,일반회계,문화예술교육지원,106666
문화체육관광부,일반회계,문화예술단체지원,80243
문화체육관광부,일반회계,문화정보화체계구축,10084
문화체육관광부,일반회계,문화정책지원,17845
문화체육관광부,일반회계,문화콘텐츠산업 기술지원,53790
문화체육관광부,일반회계,문화콘텐츠산업 육성,80696
문화체육관광부,일반회계,문화콘텐츠산업 진흥 환경 조성,141654
문화체육관광부,일반회계,미디어산업육성,38790
문화체육관광부,일반회계,미술관 정보화 환경개선,761
문화체육관광부,일반회계,박물관 정책 활성화,23307
문화체육관광부,일반회계,박물관종합정보서비스 구축(정보화),559
문화체육관광부,일반회계,방송영상콘텐츠 및 광고산업 활성화,41748
문화체육관광부,일반회계,본부기본경비,5252
문화체육관광부,일반회계,본부인건비,57214
문화체육관광부,일반회계,사행산업통합감독위원회 운영,2683
문화체육관광부,일반회계,생활체육활성화,2411
문화체육관광부,일반회계,소속기관기본경비,16265
문화체육관광부,일반회계,소속기관인건비,116353
문화체육관광부,일반회계,스포츠산업육성,200
문화체육관광부,일반회계,시각예술 진흥기반 구축,21434
문화체육관광부,일반회계,예술원운영,2756
문화체육관광부,일반회계,인문정신문화 진흥,53892
문화체육관광부,일반회계,일반회계전출(지역신문발전기금),10000
문화체육관광부,일반회계,장애인체육 진흥,110
문화체육관광부,일반회계,저작권 기술 기반 조성,7000
문화체육관광부,일반회계,저작권 보호활동 강화,16774
문화체육관광부,일반회계,저작권 인식제고 및 기관지원,21522
문화체육관광부,일반회계,저작물 이용 및 유통환경 조성,9091
문화체육관광부,일반회계,전통예술중고 지원,5166
문화체육관광부,일반회계,정책포털시스템 운영(정보화),3050
문화체육관광부,일반회계,정책홍보지원,6049
문화체육관광부,일반회계,종교문화활동 및 보존지원,54410
문화체육관광부,일반회계,종합정책연구,29977
문화체육관광부,일반회계,지능형 도서관 기반기술 조성,944
문화체육관광부,일반회계,지역·전통문화 진흥,28944
문화체육관광부,일반회계,청사관리,3386
문화체육관광부,일반회계,총액인건비대상 본부기본경비,4860
문화체육관광부,일반회계,총액인건비대상 소속기관기본경비,5384
문화체육관광부,일반회계,출판산업육성,32147
문화체육관광부,일반회계,학교종합정보시스템구축(정보화),674
문화체육관광부,일반회계,한국예술종합학교운영,32617
문화체육관광부,일반회계,한국정책방송원 운영,20478
문화체육관광부,일반회계,해외문화홍보원 운영,31665
문화체육관광부,일반회계,해외문화홍보원 정보화(정보화),1075
문화체육관광부,일반회계,회계간전출(아시아문화중심도시조성특별회계),89162
문화체육관광부,아시아문화중심도시조성특별회계,문화중심도시조성,94130
문화체육관광부,지역발전특별회계,관광레저 개발 육성,29920
문화체육관광부,지역발전특별회계,관광자원개발,222978
문화체육관광부,지역발전특별회계,광역관광자원개발,174070
문화체육관광부,지역발전특별회계,기초 관광자원개발(제주),11460
문화체육관광부,지역발전특별회계,문화시설확충및운영,126019
문화체육관광부,지역발전특별회계,문화시설확충및운영(세종),80
문화체육관광부,지역발전특별회계,문화시설확충및운영(제주),5902
문화체육관광부,지역발전특별회계,시각예술 진흥기반 구축(생활),9330
문화체육관광부,지역발전특별회계,시각예술 진흥기반 구축(제주),2545
문화체육관광부,지역발전특별회계,전통종교문화유산보존(세종),80
문화체육관광부,지역발전특별회계,지방문화산업기반조성,12300
문화체육관광부,지역발전특별회계,지방문화산업기반조성(제주),300
문화체육관광부,지역발전특별회계,지역문화 컨설팅 지원,336
문화체육관광부,지역발전특별회계,지역문화 컨설팅 지원(제주),22
문화체육관광부,지역발전특별회계,체육진흥시설지원,127825
문화체육관광부,지역발전특별회계,체육진흥시설지원(세종),990
문화체육관광부,지역발전특별회계,체육진흥시설지원(제주),1750
미래창조과학부,일반회계,IT활용기반구축,19992
미래창조과학부,일반회계,IT활용촉진,3595
미래창조과학부,일반회계,R&D기본경비,2593
미래창조과학부,일반회계,R&D인건비,10949
미래창조과학부,일반회계,SMART 건설관련 안전성 향상 연구,9300
미래창조과학부,일반회계,SW산업기반확충,6188
미래창조과학부,일반회계,U-KOREA선도사업,6000
미래창조과학부,일반회계,개인 연구지원 사업,587531
미래창조과학부,일반회계,공공복지 안전 연구개발,5180
미래창조과학부,일반회계,공공서비스신기술적용촉진(정보화),13247
미래창조과학부,일반회계,공정경쟁환경조성,2313
미래창조과학부,일반회계,과학관 건립 지원,43437
미래창조과학부,일반회계,과학기술 국제협력 네트워크 지원,1600
미래창조과학부,일반회계,과학기술인 복지향상,3680
미래창조과학부,일반회계,과학기술인 협동조합 육성지원,600
미래창조과학부,일반회계,과학기술종합조정 지원,10317
미래창조과학부,일반회계,과학로켓 개발,1000
미래창조과학부,일반회계,광통신산업기반확충,2000
미래창조과학부,일반회계,국가과학기술 지식정보서비스,9200
미래창조과학부,일반회계,국가과학기술자문회의 운영,1229
미래창조과학부,일반회계,국가연구개발성과평가,1500
미래창조과학부,일반회계,국가연구시설장비 선진화지원,2200
미래창조과학부,일반회계,국가중요통신망운영,22989
미래창조과학부,일반회계,국립과학관 운영,12988
미래창조과학부,일반회계,국립대학법인 울산과기대 운영지원,118649
미래창조과학부,일반회계,국제 연구인력 교류,7870
미래창조과학부,일반회계,국제과학비즈니스벨트조성,216989
미래창조과학부,일반회계,국제사회정보화선도국가위상강화(정보화),6896
미래창조과학부,일반회계,국제화기반조성,33543
미래창조과학부,일반회계,글로벌연구역량강화,22514
미래창조과학부,일반회계,글로벌전문기술(일반회계),41000
미래창조과학부,일반회계,글로벌협력기반조성,3679
미래창조과학부,일반회계,기술확산지원,5475
미래창조과학부,일반회계,기업부설연구소 인정 및 전문연구요원제도 운영,527
미래창조과학부,일반회계,기초기술연구회 소속 출연연구기관 지원,1610654
미래창조과학부,일반회계,기초연구기반구축사업,154532
미래창조과학부,일반회계,기초연구성과 활용지원사업,20740
미래창조과학부,일반회계,기초원천연구기획심사평가사업,18187
미래창조과학부,일반회계,나노·소재기술개발,40534
미래창조과학부,일반회계,동북아 R&D 허브 기반 구축,24500
미래창조과학부,일반회계,무한상상실 운영,4095
미래창조과학부,일반회계,문화콘텐츠산업 기술지원,25250
미래창조과학부,일반회계,미래대비 역량 강화,2118
미래창조과학부,일반회계,미래부 직할 출연(연) 및 연구회 평가,950
미래창조과학부,일반회계,미래창조과학정책 이해도 제고,554
미래창조과학부,일반회계,민간자격 제도 관리 운영,10
미래창조과학부,일반회계,바이오·의료기술개발,229972
미래창조과학부,일반회계,방사선기기 성능평가 및 표준화 인증시설 구축·운영,700
미래창조과학부,일반회계,방사선이용기술개발,46901
미래창조과학부,일반회계,방사성동위원소 이용 신개념 치료기술개발 플랫폼 구축,19515
미래창조과학부,일반회계,방송통신사업허가심사,200
미래창조과학부,일반회계,방송통신재난관리,350
미래창조과학부,일반회계,방송통신행정정보화(정보화),15889
미래창조과학부,일반회계,본부 기본경비,16153
미래창조과학부,일반회계,본부 인건비,19090
미래창조과학부,일반회계,본부운영지원,5200
미래창조과학부,일반회계,본부인건비,45497
미래창조과학부,일반회계,사회이슈해결형 연구(R&D),21500
미래창조과학부,일반회계,산업기술인력양성,8403
미래창조과학부,일반회계,산하기관운영지원(정보화),27292
미래창조과학부,일반회계,생산적정보문화조성(정보화),24812
미래창조과학부,일반회계,소속기관기본경비,3390
미래창조과학부,일반회계,소속기관인건비,56535
미래창조과학부,일반회계,소프트웨어·디자인 융합센터 구축사업,1000
미래창조과학부,일반회계,신산업융합원천기술,48555
미래창조과학부,일반회계,에너지·환경기술개발,107892
미래창조과학부,일반회계,여학생 공학교육 지원,9571
미래창조과학부,일반회계,연구공동체 기술사업화 지원(R&D),9500
미래창조과학부,일반회계,연구공동체육성지원,20036
미래창조과학부,일반회계,연구실안전환경구축,5930
미래창조과학부,일반회계,우수학생 국가장학 사업,66376
미래창조과학부,일반회계,우주국제협력 지원,130
미래창조과학부,일반회계,우주기술연구기획심사평가사업,800
미래창조과학부,일반회계,우주발사체개발,255500
미래창조과학부,일반회계,우주핵심기술개발사업,23857
미래창조과학부,일반회계,원자력평화적이용체제구축,8504
미래창조과학부,일반회계,인공위성개발,92604
미래창조과학부,일반회계,인력양성(일반회계),23440
미래창조과학부,일반회계,일반회계에서 책특회계로 전출,52258
미래창조과학부,일반회계,전파방송진흥정책지원,689
미래창조과학부,일반회계,전파연구지원,3201
미래창조과학부,일반회계,전파이용질서확립,24082
미래창조과학부,일반회계,정보보호기반강화,55234
미래창조과학부,일반회계,정보보호체계강화(정보화),5134
미래창조과학부,일반회계,정보사업비,3310
미래창조과학부,일반회계,정보자원관리기반확충(정보화),17615
미래창조과학부,일반회계,정보통신기반서비스활성화,1000
미래창조과학부,일반회계,정보통신기업성장지원(일반),14300
미래창조과학부,일반회계,정보통신제품 품질인증 지원,1518
미래창조과학부,일반회계,정책연구비,1061
미래창조과학부,일반회계,직할출연연구기관지원,902639
미래창조과학부,일반회계,집단 연구자 지원,126350
미래창조과학부,일반회계,차세대정보·컴퓨팅기술개발,8100
미래창조과학부,일반회계,창의적인재육성,1728
미래창조과학부,일반회계,창조경제기반조성,50146
미래창조과학부,일반회계,첨단융합기술개발,169600
미래창조과학부,일반회계,청사확보및시설개선,1645
미래창조과학부,일반회계,출연연구기관 지원,27111
미래창조과학부,일반회계,콘텐츠 진흥,3000
미래창조과학부,일반회계,통신시장경쟁활성화,1337
미래창조과학부,일반회계,평창 ICT 동계올림픽 추진,1000
미래창조과학부,일반회계,해외기술정보활용지원,3744
미래창조과학부,일반회계,행정업무정보화 지원,2800
미래창조과학부,일반회계,회계간전출,7236
미래창조과학부,일반회계,회계기금간전출금,5884
미래창조과학부,에너지및자원사업특별회계,기초기술연구회 소속 출연연구기관 지원,365311
미래창조과학부,에너지및자원사업특별회계,에너지·환경기술개발,5100
미래창조과학부,우체국보험특별회계,보특기본경비,126
미래창조과학부,우체국보험특별회계,보험영업활성화,255208
미래창조과학부,우체국보험특별회계,우체국보험정보화,4512
미래창조과학부,우체국보험특별회계,회계간거래,365218
미래창조과학부,우체국보험특별회계,회계기금간거래,188101
미래창조과학부,지역발전특별회계,광역경제권거점기관지원,31742
미래창조과학부,지역발전특별회계,광역경제권산업경쟁력강화,15633
미래창조과학부,지역발전특별회계,기초기술연구회 소속 출연연구기관 지원,12560
미래창조과학부,지역발전특별회계,대단위 다목적 전자선 실증연구센터,2500
미래창조과학부,지역발전특별회계,모바일융합산업활성화(R&D),4000
미래창조과학부,지역발전특별회계,산학연협력 활성화 지원,14600
미래창조과학부,지역발전특별회계,수출용 신형 연구로 개발 및 실증사업,54670
미래창조과학부,지역발전특별회계,연구개발특구육성,91617
미래창조과학부,지역발전특별회계,중입자가속기 기술개발,7000
미래창조과학부,지역발전특별회계,지역기초연구활성화,5560
미래창조과학부,국립과천과학관,감가상각비,1500
미래창조과학부,국립과천과학관,건강보험부담금(책특회계),159
미래창조과학부,국립과천과학관,공무원연금부담금,466
미래창조과학부,국립과천과학관,과학교육문화(책특회계),6630
미래창조과학부,국립과천과학관,국립과천과학관 기본경비,2918
미래창조과학부,국립과천과학관,국립과천과학관인건비,5064
미래창조과학부,국립과천과학관,당기순이익,1
미래창조과학부,국립과천과학관,무한상상실 운영,500
미래창조과학부,국립과천과학관,시설관리(책특회계),4971
미래창조과학부,국립과천과학관,창의전시관운영(책특회계),10375
미래창조과학부,국립중앙과학관,감가상각비,1190
미래창조과학부,국립중앙과학관,건강보험부담금(책특회계),150
미래창조과학부,국립중앙과학관,공무원연금부담금,419
미래창조과학부,국립중앙과학관,과학교육사업(책특회계),3730
미래창조과학부,국립중앙과학관,과학전시사업(책특회계),7412
미래창조과학부,국립중앙과학관,국립중앙과학관기본경비(책특회계),1929
미래창조과학부,국립중앙과학관,국립중앙과학관인건비(책특회계),4774
미래창조과학부,국립중앙과학관,당기순이익,1
미래창조과학부,국립중앙과학관,무한상상실 운영,500
미래창조과학부,국립중앙과학관,시설관리(책특회계),10618
미래창조과학부,국립중앙과학관,첨단연구성과 종합전시관 구축,700
미래창조과학부,우체국예금특별회계,계정간거래,11548
미래창조과학부,우체국예금특별회계,금융시설,12022
미래창조과학부,우체국예금특별회계,예특기본경비,202
미래창조과학부,우체국예금특별회계,우체국금융정보화,62962
미래창조과학부,우체국예금특별회계,우체국예금안정적운영,155874
미래창조과학부,우체국예금특별회계,지급이자,2183556
미래창조과학부,우체국예금특별회계,회계간전출,578901
미래창조과학부,우체국예금특별회계,회계기금간거래,190223
미래창조과학부,우편사업특별회계,건강보험료,58496
미래창조과학부,우편사업특별회계,경영품질개선활동,2035
미래창조과학부,우편사업특별회계,계정간거래,236196
미래창조과학부,우편사업특별회계,교육원운영,5613
미래창조과학부,우편사업특별회계,국제우편사업활성화,275133
미래창조과학부,우편사업특별회계,보편적서비스제고를위한창구망운영,339913
미래창조과학부,우편사업특별회계,소포사업,28309
미래창조과학부,우편사업특별회계,우정사무정보화,46658
미래창조과학부,우편사업특별회계,우정사무정보화시설개선,2617
미래창조과학부,우편사업특별회계,우정사업 포상금,10008
미래창조과학부,우편사업특별회계,우정사업연구,6215
미래창조과학부,우편사업특별회계,우정사업운영지원,149031
미래창조과학부,우편사업특별회계,우정서비스기간망구축,124840
미래창조과학부,우편사업특별회계,우체국창구업무지원,32863
미래창조과학부,우편사업특별회계,우특기본경비,82737
미래창조과학부,우편사업특별회계,우편기계화시설,17888
미래창조과학부,우편사업특별회계,우편사업마케팅,10307
미래창조과학부,우편사업특별회계,우편사업특별회계에서 일반회계로의 전출금,33770
미래창조과학부,우편사업특별회계,우편소통품질향상,558578
미래창조과학부,우편사업특별회계,우편업무정보화,39527
미래창조과학부,우편사업특별회계,우표문화사업,12666
미래창조과학부,우편사업특별회계,인건비,1673056
미래창조과학부,우편사업특별회계,회계기금간거래,292942
민주평화통일자문회의,일반회계,기본경비,1301
민주평화통일자문회의,일반회계,사무처인건비,4712
민주평화통일자문회의,일반회계,시설관리,155
민주평화통일자문회의,일반회계,정보화사업,400
민주평화통일자문회의,일반회계,통일정책자문·통일여론조성,19267
민주평화통일자문회의,일반회계,행정효율성증진및능력개발,30
방송통신위원회,일반회계,공정경쟁환경조성,3903
방송통신위원회,일반회계,방송인프라지원,12257
방송통신위원회,일반회계,방송통신운영지원,2414
방송통신위원회,일반회계,본부기본경비,4079
방송통신위원회,일반회계,본부인건비,15502
방송통신위원회,일반회계,안전한정보이용환경조성,17452
방위사업청,일반회계,C4I 체계 사업,4118
방위사업청,일반회계,M&S 사업,36542
방위사업청,일반회계,감시/정찰/정보사업,145624
방위사업청,일반회계,감시정찰정보전자전사업(FMS),28779
방위사업청,일반회계,건강보험부담금,1681
방위사업청,일반회계,국과연연구개발,420252
방위사업청,일반회계,국방과학연구소 운영,257274
방위사업청,일반회계,국방기술개발,834529
방위사업청,일반회계,국방기술품질원운영,56498
방위사업청,일반회계,국책 연구개발 사업,142142
방위사업청,일반회계,기갑사업,591301
방위사업청,일반회계,기동사업,205975
방위사업청,일반회계,기본경비,9293
방위사업청,일반회계,기술기획/품질경영,61334
방위사업청,일반회계,기타 화력탄약사업,49662
방위사업청,일반회계,대공포 사업,37406
방위사업청,일반회계,레이더장비 사업,49429
방위사업청,일반회계,방위사업 정보화,17038
방위사업청,일반회계,방위산업 진흥(일반),24240
방위사업청,일반회계,방호시설사업,50904
방위사업청,일반회계,부대개편사업(육군),110383
방위사업청,일반회계,부대시설사업(공군),48132
방위사업청,일반회계,부대시설사업(해군),348017
방위사업청,일반회계,상륙/지원함 사업,517631
방위사업청,일반회계,성능개량사업(FMS),116046
방위사업청,일반회계,신특수/유도무기사업(FMS),242697
방위사업청,일반회계,양산구매 성능개량,254271
방위사업청,일반회계,업체주관 연구개발,86910
방위사업청,일반회계,연구개발 성능개량,576577
방위사업청,일반회계,위성/무선통신장비사업,32561
방위사업청,일반회계,인건비,52855
방위사업청,일반회계,잠수함 사업,455948
방위사업청,일반회계,저고도유도무기 사업,73442
방위사업청,일반회계,전술통제통신 사업,42637
방위사업청,일반회계,전자전장비 사업,70624
방위사업청,일반회계,전투기 사업,392665
방위사업청,일반회계,전투예비탄약,409472
방위사업청,일반회계,전투함 사업,457234
방위사업청,일반회계,중·고고도유도무기 사업,282729
방위사업청,일반회계,지원/특수기 사업,652959
방위사업청,일반회계,탑재장비 사업,71383
방위사업청,일반회계,편제장비보강사업,99953
방위사업청,일반회계,포병전력사업,1098354
방위사업청,일반회계,항공사업(FMS),1035016
방위사업청,일반회계,항공유도무기사업,204599
방위사업청,일반회계,해상유도무기 사업,142103
방위사업청,일반회계,행정지원,21775
방위사업청,일반회계,화생방 사업,70551
방위사업청,일반회계,회계기금간 거래(일반회계),6213
방위사업청,일반회계,획득지원,16205
법무부,일반회계,갱생보호,24147
법무부,일반회계,검찰업무정보화,42709
법무부,일반회계,검찰운영,48073
법무부,일반회계,공판활동및형집행,35127
법무부,일반회계,교도소운영,118340
법무부,일반회계,국가송무수행,44365
법무부,일반회계,국제법무운영및외국법제연구,13533
법무부,일반회계,국제이민협력,1588
법무부,일반회계,기타법무시설조성,16697
법무부,일반회계,민상사법령의 선진화,2886
법무부,일반회계,범죄예방기관운영,6917
법무부,일반회계,범죄피해자보호기금 전출금,86014
법무부,일반회계,법률구조,42088
법무부,일반회계,법률서비스산업의선진화,1272
법무부,일반회계,법무행정개선,897
법무부,일반회계,법무행정정보화,27436
법무부,일반회계,법조인양성,4256
법무부,일반회계,법질서 준수 및 법교육,3773
법무부,일반회계,보호관찰,19028
법무부,일반회계,본부기본경비(일반),14102
법무부,일반회계,본부인건비,151237
법무부,일반회계,서민·사회적약자 지원 법무정책 홍보,879
법무부,일반회계,소년보호,20030
법무부,일반회계,소속기관기본경비(일반),122872
법무부,일반회계,소속기관인건비,1728570
법무부,일반회계,수사지원및역량강화,104236
법무부,일반회계,시설및장비관리,8571
법무부,일반회계,여성아동인권증진,301
법무부,일반회계,연수원운영,7977
법무부,일반회계,외국인체류관리,30341
법무부,일반회계,인권교육,194
법무부,일반회계,재소자수용및교화,113835
법무부,일반회계,정부법무공단운영지원,512
법무부,일반회계,정책연구개발사업,48
법무부,일반회계,출입국관리사무소운영,28182
법무부,일반회계,치료감호,6095
법무부,일반회계,통일대비법률통합실질화,450
법무부,일반회계,형사사법공통시스템 운영,7191
법무부,일반회계,형사사법선진화,412
법무부,교도작업특별회계,공공자금관리기금예탁,9770
법무부,교도작업특별회계,교도작업운영및직업훈련,45029
법무부,교도작업특별회계,본부기본경비(교특),338
법무부,교도작업특별회계,소속기관기본경비(교특),323
법무부,교도작업특별회계,예비비(교특),1900
법제처,일반회계,법제개선,1324
법제처,일반회계,법제업무정보화지원,5701
법제처,일반회계,법제전문성향상,1281
법제처,일반회계,법제정보서비스,2442
법제처,일반회계,본부기본경비,3414
법제처,일반회계,본부인건비,14554
법제처,일반회계,알기쉬운법령만들기,256
법제처,일반회계,전산운영경비,303
법제처,일반회계,정책연구개발,68
법제처,일반회계,청사이전지원,809
병무청,일반회계,기본경비,10310
병무청,일반회계,병무행정정보화,10815
병무청,일반회계,병역의무자지원,28492
병무청,일반회계,보충역복무제도운영,11719
병무청,일반회계,선병활동,8775
병무청,일반회계,운영지원,14325
병무청,일반회계,인건비,110391
병무청,일반회계,직원교육훈련,155
병무청,일반회계,청사확보 및 시설관리,2870
병무청,일반회계,충원활동,2204
